Dates,USD Curncy,EUR Curncy,GBP Curncy,JPY Curncy,AUD Curncy,NZD Curncy,CAD Curncy,CHF Curncy,NOK Curncy,SEK Curncy,RUB Curncy,CNY Curncy,INR Curncy,TRY Curncy,SGD Curncy,CZK Curncy,DKK Curncy,HRK Curncy,RSD Curncy,AMD Curncy
8/14/2019,1,1.1139,1.206,105.91,0.6748,0.6436,1.3319,0.9732,8.9831,9.6338,66.0525,7.0237,71.2738,5.6123,1.39,23.234,6.6969,6.6336,105.7271,475.72
8/15/2019,1,1.1107,1.2088,106.12,0.6775,0.6449,1.3313,0.9765,9.0209,9.6436,66.0558,7.034,71.2738,5.5672,1.389,23.2636,6.7157,6.6518,105.9878,475.85
8/16/2019,1,1.109,1.2149,106.38,0.6779,0.6429,1.3269,0.9783,9.0053,9.6648,66.516,7.0428,71.155,5.5796,1.3845,23.2085,6.7232,6.6618,106.1769,475.9
8/19/2019,1,1.1078,1.2126,106.64,0.6764,0.6411,1.3324,0.9817,8.9784,9.6872,66.916,7.0507,71.4425,5.6603,1.3866,23.2839,6.7316,6.6681,106.2881,476
8/20/2019,1,1.11,1.217,106.23,0.6778,0.6416,1.3319,0.978,8.9829,9.6934,66.5471,7.0605,71.71,5.7314,1.3849,23.2332,6.7166,6.6514,106.1138,475.85
8/21/2019,1,1.1085,1.213,106.62,0.6781,0.6404,1.3291,0.9819,8.9448,9.6258,65.7629,7.0627,71.5587,5.7166,1.3836,23.262,6.726,6.6602,106.2256,475.84
8/22/2019,1,1.108,1.2251,106.44,0.6757,0.6367,1.3303,0.9837,8.9808,9.6767,65.6178,7.0833,71.8163,5.7686,1.3855,23.2728,6.7289,6.6719,106.4167,475.83
8/23/2019,1,1.1144,1.2266,105.39,0.6756,0.6405,1.3283,0.9743,8.9335,9.5912,66.0112,7.0955,71.6637,5.7593,1.387,23.2309,6.6924,6.6356,106.133,475.93
8/26/2019,1,1.1102,1.2217,106.12,0.6775,0.6394,1.3254,0.9786,9.0025,9.674,66.0604,7.1512,72.0212,5.8235,1.3881,23.24,6.7169,6.6607,106.2377,476
8/27/2019,1,1.109,1.229,105.75,0.6752,0.6362,1.3283,0.9815,9.0106,9.6709,66.4427,7.1617,71.4812,5.8278,1.3893,23.2928,6.724,6.6745,106.2285,475.92
