Date,Volume,Close,Low,High,Open
11/1/2016,32220953,23,21.78,23.55,22.1
11/2/2016,10755328,22.91,22.6358,23.265,22.67
11/3/2016,8084230,24.15,22.94,24.3493,22.96
11/4/2016,6878720,25.2,23.56,25.5,23.82
11/7/2016,8377025,25.08,24.89,26.41,25.54
11/8/2016,6471269,26.4,24.3,26.59,24.3
11/9/2016,10675856,28.72,26,29.14,26.83
11/10/2016,8189887,29.1,28.3,29.7,29.08
11/11/2016,5337239,29.3,27.63,29.99,29.18
11/14/2016,5156737,29.62,28.61,29.94,29.5
11/15/2016,3668883,30.21,28.83,30.23,28.94
11/16/2016,6152964,31.42,29.66,31.69,29.69
11/17/2016,4693213,31.85,30.77,32.02,31.3
11/18/2016,4421730,30.42,30.16,31.77,31.73
11/21/2016,2986107,30.69,29.501,30.98,30.89
11/22/2016,4182754,31.34,30.54,31.91,31.1
11/23/2016,4112265,31.51,30,31.93,31
11/25/2016,3109628,31.7,31.11,32.19,31.24
11/28/2016,5121935,30.86,30.7,31.8,31.48
11/29/2016,4928175,29.73,29.73,30.4999,30.02
11/30/2016,5131689,28.97,28.85,30.44,30.06
12/1/2016,5006186,28.88,28.6,29.42,28.84
12/2/2016,3870822,29.04,28.73,29.625,28.86
12/5/2016,7034136,31.22,28.89,31.2768,29.03
12/6/2016,3248595,31.15,30.21,31.19,30.71
12/7/2016,5778259,30.9,30.7653,31.89,31.3
12/8/2016,3064978,31.31,30.8,31.84,31.28
12/9/2016,4344295,32.05,31.04,32.11,31.31
12/12/2016,3416412,31.24,30.85,32.35,32.16
12/13/2016,4215143,30.24,30.03,31.73,31.4
12/14/2016,3176106,30.45,30.03,31.32,30.11
12/15/2016,3753185,29.79,29.65,30.44,30.16
12/16/2016,8133025,29.4,29.16,30.42,29.65
12/19/2016,2572496,29.29,28.75,29.49,28.89
12/20/2016,3826971,30.16,29.77,30.33,29.9
12/21/2016,1811751,30.43,30.02,30.43,30.19
12/22/2016,3767394,29.75,29.54,30.35,30.21
12/23/2016,2887430,29.71,29.34,30.13,29.79
12/27/2016,1708938,29.65,29.4,30.04,29.58
12/28/2016,2751061,29.43,29.35,30.17,29.78
12/29/2016,3224941,28.89,28.6,29.44,29.43
12/30/2016,2685997,28.08,28.01,29.3779,28.97
1/3/2017,2746634,28.83,28.17,28.87,28.6
1/4/2017,3339520,30.26,29.02,30.3,29.02
1/5/2017,2444552,30.65,30.115,30.93,30.18
1/6/2017,2086333,30.68,30.31,31.1,30.69
1/9/2017,4205059,29.48,29.215,30.88,30.88
1/10/2017,3824409,30.98,29.73,31.1,29.83
1/11/2017,3068269,31.97,31.08,32,31.08
1/12/2017,4521704,33.04,32.51,33.5,33
1/13/2017,3026712,33.01,32.53,33.43,32.82
1/17/2017,1382009,32.64,32.52,33.04,32.97
1/18/2017,6420118,34.81,32.64,34.83,32.95
1/19/2017,5050105,35.42,34.18,35.63,34.22
1/20/2017,5330864,35.66,34.93,35.74,35.4
1/23/2017,5245003,36.29,35.455,36.395,35.92
1/24/2017,11911148,37.5,37.18,38.38,37.18
1/25/2017,13583342,36.53,36.31,38.94,38.58
1/26/2017,5735412,36.3,35.51,37.0699,36.22
1/27/2017,3618336,36.67,36.27,37.39,36.3
1/30/2017,3002400,36.55,35.77,36.59,36.48
1/31/2017,2690280,36.45,36.01,37.23,36.78
2/1/2017,2905397,36.26,36.2,37.19,36.58
2/2/2017,5049682,37.68,36.63,38.37,36.7
2/3/2017,5243335,36.86,36.83,38.05,37.87
2/6/2017,2833872,37.75,36.8,38,36.9
2/7/2017,3269994,37.97,37.31,38.25,38.04
2/8/2017,3121713,37.54,37.11,38.5,37.93
2/9/2017,3392385,37.42,36.994,37.75,37.41
2/10/2017,3629116,38.3,37.505,38.54,37.92
2/13/2017,5366057,38.48,38.45,39.78,38.79
2/14/2017,3818607,38.56,38.18,39.25,38.57
2/15/2017,11488878,37.87,37.73,38.3,38.25
2/16/2017,7040708,36.46,36.35,37.8303,37.82
2/17/2017,4516838,36.21,35.79,36.61,36.24
2/21/2017,3393391,36.71,36.23,37.01,36.31
2/22/2017,2587865,36.6,36.21,36.71,36.4
2/23/2017,7139960,34.32,34.26,36.88,36.86
2/24/2017,5763834,34.48,33.35,34.64,33.81
2/27/2017,3898368,34.78,34.19,35.38,34.52
2/28/2017,4034102,34.59,34.4,35.33,34.73
3/1/2017,10564474,37.99,35.85,38.15,35.93
3/2/2017,5099275,35.85,35.83,38.17,37.64
3/3/2017,3238051,36.38,35.75,36.89,36.06
3/6/2017,5764124,36.93,35.8,37.48,36.8
3/7/2017,3753385,35.8,35.75,36.89,36.81
3/8/2017,4485667,35.99,35.9,36.82,35.9
3/9/2017,4826219,35.36,34.89,36.55,36.07
3/10/2017,4052365,34.53,34.235,36,35.9
3/13/2017,2491431,34.7,34.53,35.52,35.21
3/14/2017,3113001,34.19,33.77,34.58,34.45
3/15/2017,3753386,35.14,33.95,35.29,34.4
3/16/2017,3644274,35.38,34.98,35.99,35.66
3/17/2017,3827967,34.97,34.95,35.98,35.57
3/20/2017,2688853,34.9,34.1,35.36,34.9
3/21/2017,4540663,33.22,33.17,35.25,34.9
3/22/2017,2878415,33.69,33.01,34.15,33.35
3/23/2017,3071983,33.31,33.11,33.69,33.41
3/24/2017,4110969,32.56,32.365,33.86,33.61
3/27/2017,3654475,32.47,31.29,32.57,31.74
3/28/2017,4039664,32.92,32.45,33.6368,32.5
3/29/2017,2611803,32.91,32.73,33.29,32.91
3/30/2017,7122597,33.49,32.96,35.14,33
3/31/2017,5188399,34.4,33.6,34.74,34.06
4/3/2017,4204838,34.22,33.502,35,34.62
4/4/2017,2297037,34.23,33.821,34.5,34.03
4/5/2017,4016824,33.85,33.755,35.09,34.79
4/6/2017,3627131,33.65,33.19,34.16,33.85
4/7/2017,3674104,33.73,33.151,34.13,33.25
4/10/2017,2575451,33.66,33.2,33.78,33.66
4/11/2017,3142550,34.39,33.15,34.46,33.57
4/12/2017,7603354,32.05,32.03,34.29,33.86
4/13/2017,6143280,30.99,30.99,32.47,32.11
4/17/2017,4099722,31.31,30.97,31.79,31.17
4/18/2017,5018853,31.76,30.45,32.37,30.78
4/19/2017,2465529,31.3,31.28,32.44,32.18
4/20/2017,5429746,32.04,31.46,32.3,31.89
4/21/2017,5043928,31.7,31.65,32.55,32.2
4/24/2017,7907300,33.31,32.15,33.44,32.24
4/25/2017,11203196,36.49,34.23,36.55,34.23
4/26/2017,7528268,36.45,35.85,37.2,36
4/27/2017,14773472,34.52,34.155,35.9,35.75
4/28/2017,5240048,33.73,33.68,34.945,34.81
5/1/2017,4985515,33.28,32.9,34.13,33.95
5/2/2017,3912453,33.33,33.3,34.33,33.31
5/3/2017,7334538,31.69,31.51,32.9,32.9
5/4/2017,7917842,31.04,30.42,31.36,31.22
5/5/2017,4191170,31.82,31.05,31.96,31.35
5/8/2017,3795697,31.02,30.66,31.37,31.37
5/9/2017,3415294,30.82,30.46,31.24,31.22
5/10/2017,3487489,31.08,30.7,31.46,30.95
5/11/2017,4109699,31.16,30.45,31.31,31.23
5/12/2017,3380786,31.79,30.96,32.13,31
5/15/2017,2384134,32.03,31.97,32.5,32.17
5/16/2017,3001764,32.16,31.75,32.4,32.1
5/17/2017,3739790,31.63,31.58,32.22,31.88
5/18/2017,2396801,31.92,31.1,32.17,31.45
5/19/2017,2625907,32.29,32.1,32.88,32.16
5/22/2017,3456729,32.96,32.47,33.2,32.65
5/23/2017,2964198,33.26,32.56,33.36,32.98
5/24/2017,3348172,33.51,33.045,33.92,33.27
5/25/2017,2324871,33.09,33.03,34.09,33.68
5/26/2017,2410586,33.27,32.87,33.36,32.87
5/30/2017,3223450,32.99,32.53,33.16,33.03
5/31/2017,4546955,32.94,31.76,33.05,32.88
6/1/2017,2372191,32.94,32.45,33.45,32.84
6/2/2017,2639919,32.86,32.35,33,32.39
6/5/2017,2604980,33.32,32.65,33.58,32.65
6/6/2017,3631147,32.94,32.78,33.49,33.11
6/7/2017,3330688,32.82,32.4,33.17,33.15
6/8/2017,3286543,33.5,32.59,33.65,32.6
6/9/2017,3073576,33.01,32.85,34,33.64
6/12/2017,4719467,31.78,31.63,33.21,32.82
6/13/2017,2997123,32.48,31.55,32.548,31.97
6/14/2017,3726593,31.54,31.21,32.68,32.57
6/15/2017,3226913,30.74,30.61,31.45,31.12
6/16/2017,4767128,30,29.55,30.8625,30.8
6/19/2017,3909182,30.89,30.16,31.3,30.37
6/20/2017,2567582,30.45,30.41,31.095,30.69
6/21/2017,3489616,29.69,29.6346,30.59,30.59
6/22/2017,2906662,29.8,29.66,30.25,29.81
6/23/2017,6410938,31.09,29.79,31.43,30.13
6/26/2017,2936282,31.18,30.65,31.295,31.19
6/27/2017,5464790,31.63,31.49,32.5,31.6
6/28/2017,3768954,32.95,31.93,33,32.1
6/29/2017,3841300,33.18,32.61,33.34,33.11
6/30/2017,3032284,32.65,32.535,33.45,33.16
7/3/2017,3114295,34.02,32.915,34.3,32.94
7/5/2017,4006954,33.77,33.57,34.255,34.17
7/6/2017,6221440,33.89,33.6,35.38,33.61
7/7/2017,3776640,34.19,33.265,34.37,34
7/10/2017,3037352,34.14,33.68,34.45,33.91
7/11/2017,4244668,35,33.99,35.08,34.22
7/12/2017,4334442,34.6,34.44,35.47,35.25
7/13/2017,5302075,36.01,35.43,36.38,35.45
7/14/2017,4217600,36.32,35.98,36.44,36.2
7/17/2017,3463709,36.4,36.205,36.69,36.44
7/18/2017,3052565,36.43,35.8,36.48,36.4
7/19/2017,4516084,36.5,36.07,36.62,36.61
7/20/2017,4767392,36.72,35.95,37.31,35.95
7/21/2017,2527539,36.62,36.5055,36.8585,36.55
7/24/2017,2244773,36.69,36.51,36.88,36.59
7/25/2017,3425542,37.3,36.865,37.38,37.07
7/26/2017,3451001,36.63,36.56,37.61,37.42
7/27/2017,2044409,36.36,36.085,37.07,36.84
7/28/2017,2859014,35.64,35.54,36.32,36.17
7/31/2017,2145850,36.4,35.665,36.44,35.97
8/1/2017,1939164,36.38,35.91,36.74,36.46
8/2/2017,2965522,37.28,36.2,37.33,36.27
8/3/2017,2884639,37.09,36.94,37.6,37.28
8/4/2017,2287600,37.42,36.73,37.5,37.34
8/7/2017,4921553,37.99,37.61,38.47,38
