Date,Open,High,Low,Close,Volume
1/3/2012,409.4,412.5,409,411.23,11138965
1/4/2012,410,414.68,409.28,413.44,9561054
1/5/2012,414.95,418.55,412.67,418.03,10007431
1/6/2012,419.77,422.75,419.22,422.4,11738122
1/9/2012,425.5,427.75,421.35,421.73,14499937
1/10/2012,425.91,426,421.5,423.24,9528159
1/11/2012,422.68,422.85,419.31,422.55,7976026
1/12/2012,422.28,422.9,418.75,421.39,7850063
1/13/2012,419.7,420.45,418.66,419.81,8353927
1/17/2012,424.2,425.99,422.96,424.7,8977943
1/18/2012,426.96,429.47,426.3,429.11,10203759
1/19/2012,430.15,431.369,426.51,427.75,9674320
1/20/2012,427.49,427.5,419.75,420.3,15140557
1/23/2012,422.67,428.45,422.3,427.409,11321233
1/24/2012,425.1001,425.1001,419.55,420.41,20261647
1/25/2012,454.44,454.45,443.73,446.66,35169353
1/26/2012,448.36,448.79,443.14,444.63,11982055
1/27/2012,444.34,448.48,443.77,447.28,11073065
1/30/2012,445.71,453.9,445.39,453.01,14017979
1/31/2012,455.59,458.24,453.07,456.48,14473343
2/1/2012,458.41,458.99,455.55,456.19,10119096
2/2/2012,455.9,457.17,453.98,455.12,6969972
2/3/2012,457.3,460,455.56,459.68,10634452
2/6/2012,458.38,464.98,458.201,463.97,9219699
2/7/2012,465.25,469.75,464.581,468.83,11694935
2/8/2012,470.5,476.79,469.7,476.68,15036637
2/9/2012,480.76,496.75,480.56,493.17,32690919
2/10/2012,490.96,497.62,488.55,493.42,23420028
2/13/2012,499.53,503.83,497.09,502.6,19350531
2/14/2012,504.66,509.56,502,509.46,17130621
2/15/2012,514.26,526.29,496.89,497.67,55931344
2/16/2012,491.5,504.89,486.63,502.21,35123359
2/17/2012,503.11,507.77,500.3,502.12,19795286
2/21/2012,506.88,514.85,504.12,514.85,22357885
2/22/2012,513.08,515.49,509.07,513.04,17867818
2/23/2012,515.08,517.8296,509.5,516.39,20933655
2/24/2012,519.67,522.9,518.64,522.41,15268829
2/27/2012,521.31,528.5,516.28,525.76,20120818
2/28/2012,527.96,535.41,525.85,535.41,22092567
2/29/2012,541.56,547.61,535.7,542.44,35043134
3/1/2012,548.17,548.21,538.77,544.47,25186560
3/2/2012,544.24,546.8,542.52,545.18,15831484
3/5/2012,545.42,547.48,526,533.16,29753290
3/6/2012,523.66,533.69,516.221,530.26,29852757
3/7/2012,536.8,537.78,523.3,530.69,29596714
3/8/2012,534.69,542.99,532.12,541.99,19027546
3/9/2012,544.21,547.74,543.11,545.17,15416970
3/12/2012,548.982,552,547,552,15024904
3/13/2012,557.54,568.18,555.75,568.1,25454233
3/14/2012,578.05,594.72,575.4,589.58,52140800
3/15/2012,599.61,600.01,578.55,585.56,42959517
3/16/2012,584.72,589.2,578,585.57,30336598
3/19/2012,598.37,601.77,589.05,601.1,33596906
3/20/2012,599.51,606.9,582,605.96,30194199
3/21/2012,602.74,609.65,601.41,602.5,23699260
3/22/2012,597.78,604.5,595.53,599.34,23046916
3/23/2012,600.49,601.8,594.401,596.05,15936194
3/26/2012,599.79,607.15,595.26,606.98,21905438
3/27/2012,606.18,616.28,606.06,614.48,22469604
3/28/2012,618.38,621.45,610.31,617.62,24266278
3/29/2012,612.78,616.56,607.23,609.86,22485158
3/30/2012,608.77,610.56,597.94,599.55,26990005
4/2/2012,601.83,618.77,600.38,618.63,22108930
4/3/2012,627.3,632.21,622.51,629.32,30937269
4/4/2012,624.35,625.86,617,624.31,21217388
4/5/2012,626.98,634.66,623.4,633.68,23664652
4/9/2012,626.13,639.84,625.3,636.23,22136492
4/10/2012,639.93,644,626,628.44,33121482
4/11/2012,636.2,636.87,623.3422,626.2,25822703
4/12/2012,625,631.33,620.5,622.77,22759536
4/13/2012,624.11,624.7,603.51,605.23,31941953
4/16/2012,610.06,610.28,578.25,580.13,39380276
4/17/2012,578.94,610,571.91,609.7,38114749
4/18/2012,613.72,620.25,602.71,608.34,35450311
4/19/2012,600.22,604.732,584.52,587.44,31217292
4/20/2012,591.38,594.62,570.42,572.98,38424391
4/23/2012,570.61,576.67,556.62,571.7,36374431
4/24/2012,562.61,567.69,555,560.28,40693785
4/25/2012,615.635,618,606,610,34027952
4/26/2012,614.27,614.69,602.13,607.7,19968942
4/27/2012,605.07,606.18,600.5,603,15189243
4/30/2012,597.8,598.4,583,583.98,18979769
