Date,Volume,Close,Low,High,Open
1/3/2012,4623238,28.57,28.51,29.01,28.7
1/4/2012,3940893,28.28,28.04,28.59,28.5
1/5/2012,3104228,28.48,28.05,28.62,28.07
1/6/2012,5903671,28.72,28.14,28.79,28.37
1/9/2012,3623721,28.53,28.44,28.83,28.76
1/10/2012,4559596,29.2,28.61,29.35,28.61
1/11/2012,3427709,29.32,28.96,29.39,29.16
1/12/2012,3811389,29.23,28.8302,29.47,29.43
1/13/2012,3007644,28.97,28.45,29.18,29.11
1/17/2012,3000679,29.35,28.99,29.48,29.17
1/18/2012,4676300,29.89,29.22,29.89,29.27
1/19/2012,4446914,30.24,29.88,30.28,29.91
1/20/2012,4185684,30.5,30.18,30.55,30.28
1/23/2012,5493562,30.23,29.98,30.78,30.33
1/24/2012,4823262,30.95,30.08,31,30.17
1/25/2012,5617276,31.34,30.51,31.4,30.59
1/26/2012,4404691,31.18,31,31.77,31.15
1/27/2012,4417369,31.05,30.31,31.211,30.47
1/30/2012,5312324,31,30.55,31.125,30.69
1/31/2012,3881130,30.95,30.85,31.25,31.18
2/1/2012,4775754,31.24,31.09,31.5,31.2
2/2/2012,3937163,31.285,31.21,31.68,31.24
2/3/2012,4684884,31.85,31.6,32.17,31.7
2/6/2012,4650695,31.855,31.52,32.35,31.61
2/7/2012,3492107,32.28,31.7,32.4,31.74
2/8/2012,3673914,32.1,31.93,32.39,32.2
2/9/2012,4841489,32.65,32.09,32.69,32.09
2/10/2012,2904264,32.21,32.05,32.46,32.28
2/13/2012,3370505,32.35,32,32.65,32.42
2/14/2012,5045702,32.44,32.06,32.44,32.2
2/15/2012,3422753,32.46,32.35,32.65,32.49
2/16/2012,3202629,32.86,32.45,32.91,32.45
2/17/2012,3776263,32.75,32.75,33.05,32.96
2/21/2012,3744162,32.54,32.47,33.06,32.74
2/22/2012,3497827,32.33,32.24,32.89,32.45
2/23/2012,3233359,32.97,32.1,33.01,32.21
2/24/2012,3595047,33.41,32.86,33.5,32.91
2/27/2012,3306843,33.27,33.09,33.5,33.18
2/28/2012,4252062,33.27,32.98,33.44,33.36
2/29/2012,4282243,32.89,32.86,33.44,33.21
3/1/2012,3026641,33.1,32.77,33.29,32.86
3/2/2012,5097512,33.73,32.91,33.825,33
3/5/2012,3439746,33.22,33.04,33.61,33.56
3/6/2012,7849656,31.99,31.9,33.1,32.8
3/7/2012,3442152,32.41,31.96,32.56,32.13
3/8/2012,3295008,33.05,32.67,33.15,32.68
3/9/2012,2990897,33.64,33.08,33.65,33.19
3/12/2012,2573701,33.56,33.27,33.85,33.5
3/13/2012,3547839,34.22,33.42,34.22,33.79
3/14/2012,3709114,33.77,33.66,34.24,34.24
3/15/2012,3817537,34.17,33.63,34.2,33.86
3/16/2012,5248838,33.82,33.66,34.15,34.06
3/19/2012,7010672,34.51,33.56,34.55,34.08
3/20/2012,16911364,33.16,32.88,33.94,33.38
3/21/2012,5901198,33.56,33.1,33.83,33.1
3/22/2012,5309453,33.71,33.22,33.8,33.31
