Date,Volume,Close,Low,High,Open
1/3/2012,12678900,5.48,5.44,5.59,5.53
1/4/2012,8035900,5.46,5.41,5.49,5.47
1/5/2012,11479900,5.46,5.35,5.565,5.45
1/6/2012,12941000,5.43,5.39,5.52,5.44
1/9/2012,12588700,5.59,5.38,5.6,5.42
1/10/2012,10131700,5.71,5.64,5.75,5.66
1/11/2012,11209100,5.81,5.68,5.835,5.68
1/12/2012,11480100,5.82,5.71,5.85,5.83
1/13/2012,9674200,5.66,5.63,5.79,5.76
1/17/2012,8262000,5.73,5.71,5.84,5.77
1/18/2012,19955800,5.97,5.73,6.03,5.73
1/19/2012,21731300,6.22,5.98,6.24,6.02
1/20/2012,28708600,6.42,6.18,6.49,6.22
1/23/2012,21918400,6.52,6.3901,6.6,6.42
1/24/2012,38790400,6.53,6.39,6.81,6.47
1/25/2012,36787700,6.73,6.2299,6.78,6.28
1/26/2012,25163600,6.77,6.68,6.95,6.73
1/27/2012,16442600,6.82,6.65,6.85,6.72
1/30/2012,13366500,6.74,6.61,6.78,6.73
1/31/2012,17477500,6.71,6.69,6.84,6.79
2/1/2012,14672400,6.9,6.8,6.92,6.83
2/2/2012,15775400,6.93,6.84,7,6.9
2/3/2012,15318000,7.08,6.98,7.12,7.02
2/6/2012,13145900,6.92,6.9,7.05,7.02
2/7/2012,18875400,7.13,6.95,7.185,6.96
2/8/2012,15607000,7.25,7.11,7.39,7.14
2/9/2012,13358400,7.24,7.13,7.33,7.3
2/10/2012,16473300,7.05,6.96,7.12,7.08
2/13/2012,19483400,7.29,7.17,7.37,7.24
2/14/2012,18766100,7.32,7.24,7.43,7.24
2/15/2012,15269400,7.3,7.3,7.5,7.38
2/16/2012,13140400,7.59,7.27,7.6,7.3
2/17/2012,13956200,7.42,7.42,7.68,7.66
2/21/2012,15664300,7.28,7.2,7.45,7.44
2/22/2012,20776000,7.14,7,7.27,7.24
2/23/2012,16384900,7.29,7.05,7.3,7.11
2/24/2012,19282500,7.46,7.38,7.57,7.42
2/27/2012,14769100,7.47,7.27,7.59,7.4
2/28/2012,10515200,7.52,7.43,7.61,7.45
2/29/2012,13952400,7.35,7.34,7.55,7.52
3/1/2012,19155600,7.51,7.42,7.7,7.47
3/2/2012,11203300,7.46,7.43,7.63,7.5
3/5/2012,25144200,7.07,7.03,7.44,7.35
3/6/2012,15021100,6.9,6.76,6.95,6.91
3/7/2012,18981400,7.17,6.92,7.23,7
3/8/2012,21252700,7.47,7.215,7.5,7.24
3/9/2012,15095700,7.58,7.525,7.65,7.56
3/12/2012,15385500,7.5,7.4259,7.6,7.55
3/13/2012,17894300,7.76,7.54,7.79,7.56
3/14/2012,22707000,7.76,7.73,7.99,7.75
3/15/2012,27157800,8.25,7.92,8.28,7.96
3/16/2012,14111800,8.2,8.11,8.33,8.31
3/19/2012,12016800,8.18,8.08,8.23,8.19
3/20/2012,16428800,8.06,7.92,8.09,8.05
3/21/2012,9090200,8.04,8.01,8.18,8.09
3/22/2012,9352200,8.03,7.9,8.04,7.97
3/23/2012,8149200,8.09,7.95,8.12,8.05
3/26/2012,8694400,8.24,8.12,8.25,8.16
3/27/2012,9802000,8.19,8.17,8.35,8.25
3/28/2012,15385100,8.08,7.98,8.27,8.17
3/29/2012,13920500,8.12,7.93,8.12,7.98
3/30/2012,14586300,8.02,7.95,8.2,8.18
4/2/2012,12478800,8.2,7.95,8.24,8.03
4/3/2012,18451500,7.98,7.91,8.17,8.09
4/4/2012,16055700,7.81,7.6,7.89,7.89
4/5/2012,14951800,7.87,7.6,7.89,7.61
4/9/2012,10068300,7.75,7.66,7.85,7.71
4/10/2012,16441500,7.53,7.52,7.89,7.73
4/11/2012,9540800,7.64,7.62,7.8,7.64
4/12/2012,10960300,7.92,7.71,7.95,7.84
4/13/2012,11975400,7.73,7.68,7.86,7.85
4/16/2012,14931000,7.7,7.55,7.84,7.8
4/17/2012,15774600,7.94,7.8,8.01,7.83
4/18/2012,14005400,7.97,7.79,8.055,7.81
4/19/2012,25074700,7.97,7.75,8.06,8.01
4/20/2012,38765400,7.76,7.73,8.21,8.16
4/23/2012,23447600,7.39,7.39,7.65,7.59
4/24/2012,20562400,7.31,7.26,7.48,7.44
4/25/2012,17396300,7.39,7.21,7.48,7.42
4/26/2012,22489100,7.45,7.31,7.49,7.35
4/27/2012,18669100,7.33,7.22,7.49,7.44
4/30/2012,13328200,7.36,7.3,7.46,7.3
5/1/2012,18850000,7.59,7.31,7.64,7.34
5/2/2012,14124900,7.63,7.465,7.65,7.51
5/3/2012,15769600,7.41,7.37,7.72,7.57
5/4/2012,12321800,7.18,7.13,7.4,7.35
5/7/2012,10558200,7.18,7.13,7.32,7.13
5/8/2012,12569600,7.03,6.9,7.12,7.1
5/9/2012,19308500,6.86,6.72,6.96,6.9
5/10/2012,26549000,6.78,6.48,6.85,6.58
5/11/2012,17698800,6.78,6.72,7.03,6.73
5/14/2012,13395100,6.75,6.63,6.89,6.69
5/15/2012,12501900,6.6,6.53,6.82,6.76
5/16/2012,17262700,6.39,6.39,6.76,6.66
5/17/2012,27082600,6.13,6.11,6.42,6.38
5/18/2012,14985500,6.01,6,6.29,6.19
5/21/2012,16379300,6.3,6.06,6.34,6.1
5/22/2012,12602600,6.16,6.08,6.27,6.17
5/23/2012,19705300,6.08,5.89,6.08,5.98
5/24/2012,9713100,6.02,5.96,6.1,6.09
5/25/2012,10026500,6.22,5.99,6.22,6.02
5/29/2012,16985300,6.46,6.22,6.46,6.23
5/30/2012,18309000,6.15,6.145,6.39,6.35
5/31/2012,19853700,6.08,5.93,6.14,6.12
6/1/2012,25564500,5.73,5.63,5.9,5.9
6/4/2012,15582100,5.63,5.52,5.83,5.76
6/5/2012,12256400,5.825,5.64,5.84,5.66
6/6/2012,13465300,6.02,5.905,6.1,5.91
6/7/2012,17452900,5.76,5.72,6.14,6.1
6/8/2012,7589600,5.91,5.71,5.92,5.73
6/11/2012,11841200,5.69,5.68,6.02,6.01
6/12/2012,12517400,5.91,5.75,5.92,5.76
6/13/2012,12585700,5.76,5.75,5.95,5.89
6/14/2012,8486400,5.76,5.7,5.81,5.75
6/15/2012,9299300,5.87,5.73,5.88,5.77
6/18/2012,11950400,5.93,5.8,5.995,5.85
6/19/2012,21247700,5.81,5.8,6,5.93
6/20/2012,23328200,6.06,5.79,6.09,5.87
6/21/2012,17212900,5.72,5.71,6.04,6.04
6/22/2012,15997300,5.73,5.63,5.82,5.77
6/25/2012,17471700,5.41,5.38,5.64,5.64
6/26/2012,10162900,5.44,5.39,5.5,5.44
6/27/2012,9003600,5.5,5.4,5.53,5.47
6/28/2012,11537200,5.41,5.32,5.47,5.45
6/29/2012,20966100,5.73,5.575,5.73,5.59
7/2/2012,11169500,5.75,5.66,5.78,5.75
7/3/2012,11319300,6.03,5.77,6.08,5.78
7/5/2012,13360800,5.88,5.79,5.98,5.8
7/6/2012,9955200,5.75,5.68,5.825,5.8
7/9/2012,13565800,5.62,5.61,5.78,5.69
7/10/2012,75490100,4.99,4.95,5.4,5.08
7/11/2012,16167000,4.89,4.86,5.04,5.02
7/12/2012,19891300,4.88,4.81,4.96,4.85
7/13/2012,15548900,4.9,4.83,4.95,4.89
7/16/2012,14793900,4.83,4.74,4.87,4.85
7/17/2012,14276100,4.87,4.71,4.93,4.85
7/18/2012,15855100,4.89,4.76,5.02,4.83
7/19/2012,27598400,4.86,4.82,5.07,4.93
7/20/2012,52279700,4.22,4.2,4.62,4.62
7/23/2012,22168000,4.15,4.03,4.16,4.15
7/24/2012,21019600,4.06,4,4.2,4.18
7/25/2012,20290000,4.01,3.98,4.15,4.11
7/26/2012,11239500,4.04,4,4.09,4.05
7/27/2012,13882700,4.09,4.02,4.12,4.09
7/30/2012,9546600,4.1,4.06,4.13,4.08
7/31/2012,13541800,4.06,4.05,4.15,4.09
8/1/2012,16230300,4.05,3.99,4.15,4.09
8/2/2012,15799300,3.97,3.89,4.12,4.03
8/3/2012,8354100,4.09,3.98,4.1,4.01
8/6/2012,18017800,4.01,3.95,4.12,4.1
8/7/2012,17097600,4.02,4.01,4.12,4.04
8/8/2012,52654600,4.4,4.03,4.47,4.05
8/9/2012,23073100,4.37,4.23,4.41,4.41
8/10/2012,7849300,4.34,4.22,4.37,4.23
